description,units,source key,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
United States : all solar,thousand megawatthours,ELEC.GEN.TSN-US-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,28924,39032,54866,77277,93365,106894,130721,164422,205074,238937,303752,388820
United States : small-scale solar photovoltaic,thousand megawatthours,ELEC.GEN.DPV-US-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,11233,14139,18812,23990,29539,34957,41522,49164,61282,73406,83918,93148
United States : all utility-scale solar,thousand megawatthours,ELEC.GEN.SUN-US-99.A,543,555,534,575,550,508,612,864,891,1212,1818,4327,9036,17691,24893,36054,53287,63825,71937,89199,115258,143792,165530,219834,295671
United States : utility-scale photovoltaic,thousand megawatthours,ELEC.GEN.SPV-US-99.A,--,--,2,6,16,15,16,76,157,423,1012,3451,8121,15250,21666,32670,50018,60234,68719,86066,112335,140793,162683,216715,292817
United States : utility-scale thermal,thousand megawatthours,ELEC.GEN.STH-US-99.A,--,--,532,569,535,493,596,788,735,789,806,876,915,2441,3227,3384,3269,3592,3218,3133,2924,2999,2847,3118,2855
New England,,ELEC.GEN..A,,,,,,,,,,,,,,,,,,,,,,,,,
New England : all fuels (utility-scale),thousand megawatthours,ELEC.GEN.ALL-NEW-99.A,116591,124340,130148,133518,136149,132211,132526,127094,121666,129728,123338,120887,115436,110896,110235,107725,105234,105548,99997,96809,103089,105612,102611,--,--
New England : coal,thousand megawatthours,ELEC.GEN.COW-NEW-99.A,19022,19056,19397,19217,20423,19627,20066,18818,14439,14080,6848,4103,6166,5010,3882,2544,1689,1061,467,165,579,348,203,--,--
New England : petroleum liquids,thousand megawatthours,ELEC.GEN.PEL-NEW-99.A,16369,11084,13567,12612,13228,4681,5608,3322,1832,1065,639,413,1096,2205,2055,693,747,1246,193,154,244,1855,390,--,--
New England : petroleum coke,thousand megawatthours,ELEC.GEN.PC-NEW-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--
New England : natural gas,thousand megawatthours,ELEC.GEN.NG-NEW-99.A,33293,44775,46547,49099,50408,52878,54142,51237,51030,58623,63236,62490,52153,47880,53961,53631,51121,51613,49272,51531,55956,55914,57482,--,--
New England : other gases,thousand megawatthours,ELEC.GEN.OOG-NEW-99.A,1,9,0,0,2,2,2,0,0,14,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
New England : nuclear,thousand megawatthours,ELEC.GEN.NUC-NEW-99.A,33436,33944,34776,36513,34565,36923,36974,35547,36231,38361,34283,36116,37183,36839,31890,32751,31537,31385,29818,25580,27073,27386,23204,--,--
New England : conventional hydroelectric,thousand megawatthours,ELEC.GEN.HYC-NEW-99.A,5512,6238,7304,7400,8628,9388,6815,9300,9093,8026,8732,7360,7671,7520,6903,6161,7455,7577,7706,6689,6258,6602,8601,--,--
New England : other renewables,thousand megawatthours,ELEC.GEN.AOR-NEW-99.A,7559,7466,6928,6975,7444,7355,7919,7806,7698,8020,8015,8557,9487,9957,10208,10574,11308,11398,11095,11206,11583,12151,11419,--,--
New England : wind,thousand megawatthours,ELEC.GEN.WND-NEW-99.A,12,10,11,11,11,11,110,156,379,614,870,1294,1880,2055,2269,2646,3444,3556,3734,3769,3780,4046,3450,--,--
New England : all utility-scale solar,thousand megawatthours,ELEC.GEN.SUN-NEW-99.A,--,--,--,--,--,--,--,0,0,1,7,35,126,351,531,707,947,1232,1511,2027,2471,3346,3577,--,--
New England : utility-scale photovoltaic,thousand megawatthours,ELEC.GEN.SPV-NEW-99.A,--,--,--,--,--,--,--,0,0,1,7,35,124,350,531,707,947,1232,1511,2027,2471,3346,3577,--,--
New England : utility-scale thermal,thousand megawatthours,ELEC.GEN.STH-NEW-99.A,--,--,--,--,--,--,--,--,--,--,--,--,2,2,--,--,--,--,--,--,--,--,--,--,--
New England : geothermal,thousand megawatthours,ELEC.GEN.GEO-NEW-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
New England : biomass,thousand megawatthours,ELEC.GEN.BIO-NEW-99.A,7547,7455,6917,6963,7432,7344,7809,7650,7319,7405,7138,7229,7480,7550,7407,7220,6917,6610,5850,5411,5332,4759,4392,--,--
New England : wood and wood-derived fuels,thousand megawatthours,ELEC.GEN.WWW-NEW-99.A,4889,4886,4439,4428,5102,4848,5392,5218,4860,4989,4903,4968,5341,5266,5231,4996,4776,4539,3928,3500,3443,2962,2644,--,--
New England : other biomass,thousand megawatthours,ELEC.GEN.WAS-NEW-99.A,2658,2570,2478,2536,2331,2497,2417,2432,2459,2417,2236,2261,2140,2284,2177,2224,2141,2071,1922,1910,1889,1797,1748,--,--
New England : hydro-electric pumped storage,thousand megawatthours,ELEC.GEN.HPS-NEW-99.A,-711,-853,-511,-491,-463,-579,-846,-792,-528,-328,-435,-305,-369,-451,-478,-495,-441,-460,-434,-401,-424,-398,-375,--,--
