description,units,source key,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Maryland : coal,thousand megawatthours,ELEC.GEN.COW-MD-99.A,28379,28712,29939,29195,29303,29408,29699,27218,24162,23668,21059,16185,15538,17603,13926,13826,8514,10067,5722,3360,5174,4639,1709,2466,2294
Maryland : petroleum liquids,thousand megawatthours,ELEC.GEN.PEL-MD-99.A,3022,2282,3572,3297,3806,581,985,406,330,322,229,137,190,463,232,161,102,260,67,70,73,143,64,212,381
Maryland : petroleum coke,thousand megawatthours,ELEC.GEN.PC-MD-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Maryland : natural gas,thousand megawatthours,ELEC.GEN.NG-MD-99.A,1761,2214,1196,1183,1887,1770,2241,1848,1768,2897,2311,4945,2888,2506,4555,5423,6729,13850,14605,14092,13977,13950,15336,13910,16015
Maryland : other gases,thousand megawatthours,ELEC.GEN.OOG-MD-99.A,440,505,325,412,342,332,378,338,269,215,155,112,--,--,--,--,--,--,--,--,--,--,--,--,--
Maryland : nuclear,thousand megawatthours,ELEC.GEN.NUC-MD-99.A,13656,12128,13691,14580,14703,13830,14353,14679,14550,13994,14397,13579,14264,14343,14643,14760,15107,14988,15013,15081,14994,14811,14984,14724,14795
Maryland : conventional hydroelectric,thousand megawatthours,ELEC.GEN.HYC-MD-99.A,1184,1661,2647,2508,1704,2104,1652,1974,1889,1667,2547,1657,1727,1616,1623,1392,1965,2831,2188,1697,2117,1780,1849,1848,1575
Maryland : other renewables,thousand megawatthours,ELEC.GEN.AOR-MD-99.A,373,522,596,589,623,626,603,612,551,574,822,898,941,989,1068,1281,1365,1488,1405,1410,1524,1524,1746,1927,2311
Maryland : wind,thousand megawatthours,ELEC.GEN.WND-MD-99.A,--,--,--,--,--,--,--,--,--,1,271,322,322,324,435,527,561,570,520,546,517,498,482,558,685
Maryland : all utility-scale solar,thousand megawatthours,ELEC.GEN.SUN-MD-99.A,--,--,--,--,--,--,--,--,--,0,3,22,63,98,119,209,267,397,494,527,632,714,943,1036,1329
Maryland : utility-scale photovoltaic,thousand megawatthours,ELEC.GEN.SPV-MD-99.A,--,--,--,--,--,--,--,--,--,0,3,22,63,98,119,209,267,397,494,527,632,714,943,1036,1329
Maryland : utility-scale thermal,thousand megawatthours,ELEC.GEN.STH-MD-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Maryland : geothermal,thousand megawatthours,ELEC.GEN.GEO-MD-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Maryland : biomass,thousand megawatthours,ELEC.GEN.BIO-MD-99.A,373,522,596,589,623,626,603,612,551,572,548,554,556,567,514,546,536,521,391,337,375,312,322,333,297
Maryland : wood and wood-derived fuels,thousand megawatthours,ELEC.GEN.WWW-MD-99.A,12,183,225,192,206,218,203,198,175,165,168,159,143,150,111,124,120,104,60,10,8,7,3,0,0
Maryland : other biomass,thousand megawatthours,ELEC.GEN.WAS-MD-99.A,361,339,371,397,417,408,400,415,376,407,380,395,413,417,403,422,416,417,330,327,366,306,319,333,297
Maryland : hydro-electric pumped storage,thousand megawatthours,ELEC.GEN.HPS-MD-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Maryland : other,thousand megawatthours,ELEC.GEN.OTH-MD-99.A,248,255,278,289,294,305,287,286,256,270,299,296,303,313,318,323,322,326,325,320,376,294,312,338,300
Maryland : all solar,thousand megawatthours,ELEC.GEN.TSN-MD-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,351,457,728,1002,1246,1460,1522,1657,1996,2325,2515,3010
Maryland : small-scale solar photovoltaic,thousand megawatthours,ELEC.GEN.DPV-MD-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,253,339,519,735,849,965,994,1025,1283,1382,1479,1681
Maryland : all utility-scale solar,thousand megawatthours,ELEC.GEN.SUN-MD-99.A,--,--,--,--,--,--,--,--,--,0,3,22,63,98,119,209,267,397,494,527,632,714,943,1036,1329
Maryland : utility-scale photovoltaic,thousand megawatthours,ELEC.GEN.SPV-MD-99.A,--,--,--,--,--,--,--,--,--,0,3,22,63,98,119,209,267,397,494,527,632,714,943,1036,1329
Maryland : utility-scale thermal,thousand megawatthours,ELEC.GEN.STH-MD-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
North Carolina,,ELEC.GEN..A,,,,,,,,,,,,,,,,,,,,,,,,,
North Carolina : all fuels (utility-scale),thousand megawatthours,ELEC.GEN.ALL-NC-99.A,117496,124468,127582,126330,129749,125215,130115,125239,118407,128678,118390,116682,125936,128144,128388,130779,128468,134249,131174,124363,129923,134257,126553,134965,135437
North Carolina : coal,thousand megawatthours,ELEC.GEN.COW-NC-99.A,72958,75188,74776,75546,78436,75487,79983,75815,65083,71951,59758,50932,47072,49238,39922,37436,34460,31690,30672,20793,20405,14674,14205,17079,17902
North Carolina : petroleum liquids,thousand megawatthours,ELEC.GEN.PEL-NC-99.A,656,592,784,611,519,451,496,320,297,293,218,178,218,460,435,251,251,633,192,117,195,278,84,157,192
North Carolina : petroleum coke,thousand megawatthours,ELEC.GEN.PC-NC-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--
North Carolina : natural gas,thousand megawatthours,ELEC.GEN.NG-NC-99.A,1534,3561,1580,2559,3159,3196,4457,4177,4852,8447,11155,19302,27983,28738,36545,39251,38590,43446,41147,41401,47445,58131,51788,55503,54217
North Carolina : other gases,thousand megawatthours,ELEC.GEN.OOG-NC-99.A,1,1,0,0,0,0,0,0,0,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
North Carolina : nuclear,thousand megawatthours,ELEC.GEN.NUC-NC-99.A,37775,39627,40907,40091,39982,39963,40045,39776,40848,40740,40527,39386,40242,40967,42097,42786,42374,42077,41916,42329,43118,42644,42336,43349,43047
North Carolina : conventional hydroelectric,thousand megawatthours,ELEC.GEN.HYC-NC-99.A,2596,3492,7201,5435,5397,3839,2984,3034,5171,4757,3893,3728,6901,4756,4742,4417,3818,6605,6186,7957,5813,4686,4225,4829,4650
North Carolina : other renewables,thousand megawatthours,ELEC.GEN.AOR-NC-99.A,1751,1786,1976,1733,1807,1828,1672,1922,1893,2083,2345,2704,2955,3276,3963,5983,8397,9263,10524,11281,12660,13636,13680,13828,15227
North Carolina : wind,thousand megawatthours,ELEC.GEN.WND-NC-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,6,471,543,523,546,515,547,529,530,936
North Carolina : all utility-scale solar,thousand megawatthours,ELEC.GEN.SUN-NC-99.A,--,--,--,--,--,--,--,2,5,11,17,139,345,729,1374,3421,5114,6110,7451,8274,10123,11264,11459,11844,12752
North Carolina : utility-scale photovoltaic,thousand megawatthours,ELEC.GEN.SPV-NC-99.A,--,--,--,--,--,--,--,2,5,11,17,139,345,729,1374,3421,5114,6110,7451,8274,10123,11264,11459,11844,12752
North Carolina : utility-scale thermal,thousand megawatthours,ELEC.GEN.STH-NC-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
North Carolina : geothermal,thousand megawatthours,ELEC.GEN.GEO-NC-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
North Carolina : biomass,thousand megawatthours,ELEC.GEN.BIO-NC-99.A,1751,1786,1976,1733,1807,1828,1672,1920,1889,2072,2328,2564,2610,2547,2589,2556,2812,2610,2549,2461,2023,1825,1692,1454,1539
North Carolina : wood and wood-derived fuels,thousand megawatthours,ELEC.GEN.WWW-NC-99.A,1642,1683,1862,1621,1709,1737,1585,1800,1757,1876,1953,2262,2200,2027,2045,1960,2117,1953,1878,1820,1465,1364,1230,1086,1181
North Carolina : other biomass,thousand megawatthours,ELEC.GEN.WAS-NC-99.A,109,103,114,112,98,92,87,120,131,195,375,302,410,520,544,596,695,656,671,641,557,461,462,368,358
North Carolina : hydro-electric pumped storage,thousand megawatthours,ELEC.GEN.HPS-NC-99.A,0,25,119,78,147,131,137,-121,43,0,0,0,0,78,0,0,0,0,0,0,0,0,0,0,0
North Carolina : other,thousand megawatthours,ELEC.GEN.OTH-NC-99.A,225,196,239,277,303,319,342,316,220,407,493,452,567,631,685,655,577,535,538,485,289,208,235,220,202
North Carolina : all solar,thousand megawatthours,ELEC.GEN.TSN-NC-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,803,1460,3589,5300,6323,7725,8633,10578,11858,12216,12752,13761
North Carolina : small-scale solar photovoltaic,thousand megawatthours,ELEC.GEN.DPV-NC-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,74,86,167,186,212,273,360,455,594,757,908,1009
North Carolina : all utility-scale solar,thousand megawatthours,ELEC.GEN.SUN-NC-99.A,--,--,--,--,--,--,--,2,5,11,17,139,345,729,1374,3421,5114,6110,7451,8274,10123,11264,11459,11844,12752
North Carolina : utility-scale photovoltaic,thousand megawatthours,ELEC.GEN.SPV-NC-99.A,--,--,--,--,--,--,--,2,5,11,17,139,345,729,1374,3421,5114,6110,7451,8274,10123,11264,11459,11844,12752
North Carolina : utility-scale thermal,thousand megawatthours,ELEC.GEN.STH-NC-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
South Carolina,,ELEC.GEN..A,,,,,,,,,,,,,,,,,,,,,,,,,
South Carolina : all fuels (utility-scale),thousand megawatthours,ELEC.GEN.ALL-SC-99.A,89159,96563,93773,97940,102515,99268,103402,100978,100125,104153,102973,96756,95250,97158,96532,96986,93081,99364,100108,98529,98390,98710,100853,100485,104548
South Carolina : coal,thousand megawatthours,ELEC.GEN.COW-SC-99.A,36699,36948,37432,38922,39692,39473,41583,41540,34478,37671,34169,28396,24407,28914,22631,21003,18152,19497,14861,12459,15188,14243,15150,16842,18178
South Carolina : petroleum liquids,thousand megawatthours,ELEC.GEN.PEL-SC-99.A,308,300,409,380,339,221,217,129,140,163,112,108,103,246,193,114,98,344,79,64,86,187,96,106,103
South Carolina : petroleum coke,thousand megawatthours,ELEC.GEN.PC-SC-99.A,--,--,48,491,279,16,0,52,383,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Carolina : natural gas,thousand megawatthours,ELEC.GEN.NG-SC-99.A,1176,4498,1663,3798,5414,6068,5965,5729,9780,10927,12936,14332,11834,11407,16549,16367,17156,21654,23926,24228,23242,24144,23691,22809,22490
South Carolina : other gases,thousand megawatthours,ELEC.GEN.OOG-SC-99.A,0,0,0,0,6,0,0,0,0,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
South Carolina : nuclear,thousand megawatthours,ELEC.GEN.NUC-SC-99.A,49870,53326,50418,51201,53138,50797,53200,51763,52150,51988,52903,51145,54252,52419,53156,55826,54345,52716,56103,54751,53771,54370,55622,53770,56671
South Carolina : conventional hydroelectric,thousand megawatthours,ELEC.GEN.HYC-SC-99.A,1225,1390,3665,2447,2938,1807,1556,1123,2332,2376,1554,1420,3160,2569,2564,2226,1835,3014,2976,3863,2544,2181,2199,2412,2497
South Carolina : other renewables,thousand megawatthours,ELEC.GEN.AOR-SC-99.A,894,1244,1296,1763,1814,1910,1996,1816,1748,1873,2129,2143,2226,2442,2294,2381,2479,2802,3027,3797,4284,4414,4504,4753,4887
South Carolina : wind,thousand megawatthours,ELEC.GEN.WND-SC-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
South Carolina : all utility-scale solar,thousand megawatthours,ELEC.GEN.SUN-SC-99.A,--,--,--,--,--,--,--,--,--,--,--,--,0,5,4,5,80,510,859,1722,2280,2422,2762,2926,3312
South Carolina : utility-scale photovoltaic,thousand megawatthours,ELEC.GEN.SPV-SC-99.A,--,--,--,--,--,--,--,--,--,--,--,--,0,5,4,5,80,510,859,1722,2280,2422,2762,2926,3312
South Carolina : utility-scale thermal,thousand megawatthours,ELEC.GEN.STH-SC-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
South Carolina : geothermal,thousand megawatthours,ELEC.GEN.GEO-SC-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
South Carolina : biomass,thousand megawatthours,ELEC.GEN.BIO-SC-99.A,894,1244,1296,1763,1814,1910,1996,1816,1748,1873,2129,2143,2226,2438,2289,2376,2400,2291,2168,2075,2005,1992,1741,1827,1575
South Carolina : wood and wood-derived fuels,thousand megawatthours,ELEC.GEN.WWW-SC-99.A,866,1229,1244,1694,1726,1804,1895,1696,1611,1742,1988,1941,2013,2244,2103,2197,2228,2141,2039,1954,1898,1901,1655,1765,1518
South Carolina : other biomass,thousand megawatthours,ELEC.GEN.WAS-SC-99.A,28,16,52,69,88,106,101,120,137,131,141,203,213,194,186,180,171,150,129,121,107,91,87,63,58
South Carolina : hydro-electric pumped storage,thousand megawatthours,ELEC.GEN.HPS-SC-99.A,-1036,-1143,-1207,-1149,-1199,-1120,-1211,-1267,-976,-935,-890,-896,-795,-884,-904,-977,-1025,-705,-909,-679,-768,-870,-454,-251,-283
South Carolina : other,thousand megawatthours,ELEC.GEN.OTH-SC-99.A,22,0,49,87,94,95,96,94,91,61,60,106,62,46,49,45,41,42,45,46,42,42,44,45,5
South Carolina : all solar,thousand megawatthours,ELEC.GEN.TSN-SC-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,9,11,41,217,759,1187,2092,2707,2942,3351,3563,3974
South Carolina : small-scale solar photovoltaic,thousand megawatthours,ELEC.GEN.DPV-SC-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,4,7,36,138,249,329,371,428,520,589,637,662
South Carolina : all utility-scale solar,thousand megawatthours,ELEC.GEN.SUN-SC-99.A,--,--,--,--,--,--,--,--,--,--,--,--,0,5,4,5,80,510,859,1722,2280,2422,2762,2926,3312
South Carolina : utility-scale photovoltaic,thousand megawatthours,ELEC.GEN.SPV-SC-99.A,--,--,--,--,--,--,--,--,--,--,--,--,0,5,4,5,80,510,859,1722,2280,2422,2762,2926,3312
South Carolina : utility-scale thermal,thousand megawatthours,ELEC.GEN.STH-SC-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Virginia,,ELEC.GEN..A,,,,,,,,,,,,,,,,,,,,,,,,,
Virginia : all fuels (utility-scale),thousand megawatthours,ELEC.GEN.ALL-VA-99.A,74105,75006,75309,78900,78943,73070,78361,72679,70082,72966,66671,70739,76897,77137,84412,92555,90417,95509,96828,103056,93478,89477,91059,102699,105954
Virginia : coal,thousand megawatthours,ELEC.GEN.COW-VA-99.A,37770,38082,37093,35656,35425,34288,35421,31776,25599,25459,19881,14181,21161,20819,17231,16499,10726,9266,3418,3763,3248,3346,1415,1972,3607
Virginia : petroleum liquids,thousand megawatthours,ELEC.GEN.PEL-VA-99.A,5462,3793,5780,5154,4265,839,2097,1150,1088,1293,503,364,313,1205,1108,535,456,950,258,231,341,652,135,205,500
Virginia : petroleum coke,thousand megawatthours,ELEC.GEN.PC-VA-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Virginia : natural gas,thousand megawatthours,ELEC.GEN.NG-VA-99.A,4196,4387,4619,6438,8295,7215,10904,9315,12201,16999,18332,25038,22651,20882,33284,40905,44507,50160,57985,62623,53611,48802,50605,60998,60696
Virginia : other gases,thousand megawatthours,ELEC.GEN.OOG-VA-99.A,0,0,3,0,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Virginia : nuclear,thousand megawatthours,ELEC.GEN.NUC-VA-99.A,25759,27346,24816,28315,27918,27594,27268,27931,28212,26572,25548,28723,29326,30221,28060,29732,30554,29252,29498,30140,28572,28197,29663,28945,28214
Virginia : conventional hydroelectric,thousand megawatthours,ELEC.GEN.HYC-VA-99.A,1014,868,1782,1583,1484,1351,1248,1011,1479,1500,1210,1044,1254,955,1158,1471,1116,1765,1519,2030,1306,1137,1391,1253,1237
Virginia : other renewables,thousand megawatthours,ELEC.GEN.AOR-VA-99.A,1747,2071,2261,2432,2498,2458,2566,2698,2418,2220,2196,2358,2906,3852,4144,4113,4122,4936,4696,4791,6912,8322,8830,10436,12714
Virginia : wind,thousand megawatthours,ELEC.GEN.WND-VA-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,50,51,47,50,50
Virginia : all utility-scale solar,thousand megawatthours,ELEC.GEN.SUN-VA-99.A,0,0,--,--,--,--,--,--,--,--,--,--,--,--,--,21,313,763,949,1371,3267,4626,5421,6998,9083
Virginia : utility-scale photovoltaic,thousand megawatthours,ELEC.GEN.SPV-VA-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,21,313,763,949,1371,3267,4626,5421,6998,9083
Virginia : utility-scale thermal,thousand megawatthours,ELEC.GEN.STH-VA-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Virginia : geothermal,thousand megawatthours,ELEC.GEN.GEO-VA-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Virginia : biomass,thousand megawatthours,ELEC.GEN.BIO-VA-99.A,1747,2071,2261,2432,2498,2458,2566,2698,2418,2220,2196,2358,2906,3852,4144,4092,3809,4173,3746,3420,3594,3645,3361,3388,3580
Virginia : wood and wood-derived fuels,thousand megawatthours,ELEC.GEN.WWW-VA-99.A,1148,1408,1588,1733,1803,1780,1792,1916,1708,1404,1406,1436,1946,2755,3041,2986,2901,3001,2665,2351,2607,2698,2463,2595,2770
Virginia : other biomass,thousand megawatthours,ELEC.GEN.WAS-VA-99.A,599,663,674,699,695,678,773,782,709,815,790,923,960,1097,1103,1106,907,1172,1082,1069,987,948,898,792,811
Virginia : hydro-electric pumped storage,thousand megawatthours,ELEC.GEN.HPS-VA-99.A,-2240,-1989,-1498,-1166,-1421,-1167,-1620,-1638,-1335,-1491,-1470,-1366,-1189,-1295,-1036,-1163,-1278,-1292,-1104,-1080,-1039,-1502,-1455,-1533,-1481
Virginia : other,thousand megawatthours,ELEC.GEN.OTH-VA-99.A,397,447,453,488,479,491,477,434,420,414,470,397,475,500,462,462,213,471,558,557,528,523,477,422,467
Virginia : all solar,thousand megawatthours,ELEC.GEN.TSN-VA-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,22,30,62,379,845,1081,1585,3588,5015,6129,8042,10154
Virginia : small-scale solar photovoltaic,thousand megawatthours,ELEC.GEN.DPV-VA-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,22,30,41,66,82,132,214,320,389,708,1044,1070
Virginia : all utility-scale solar,thousand megawatthours,ELEC.GEN.SUN-VA-99.A,0,0,--,--,--,--,--,--,--,--,--,--,--,--,--,21,313,763,949,1371,3267,4626,5421,6998,9083
Virginia : utility-scale photovoltaic,thousand megawatthours,ELEC.GEN.SPV-VA-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,21,313,763,949,1371,3267,4626,5421,6998,9083
Virginia : utility-scale thermal,thousand megawatthours,ELEC.GEN.STH-VA-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
West Virginia,,ELEC.GEN..A,,,,,,,,,,,,,,,,,,,,,,,,,
West Virginia : all fuels (utility-scale),thousand megawatthours,ELEC.GEN.ALL-WV-99.A,81837,94762,94712,89750,93626,93816,93933,91123,70783,80789,79000,73413,75863,81060,72295,75943,73357,67249,63926,56662,65836,56665,52287,50595,53648
West Virginia : coal,thousand megawatthours,ELEC.GEN.COW-WV-99.A,80214,92951,92469,87585,91417,91473,91866,89113,68080,78148,75964,70267,72284,77515,68056,71513,68349,62039,58182,50216,59668,50718,44798,43098,46636
West Virginia : petroleum liquids,thousand megawatthours,ELEC.GEN.PEL-WV-99.A,279,298,248,268,223,175,200,137,169,155,188,143,150,163,140,123,120,159,128,142,167,150,163,125,142
West Virginia : petroleum coke,thousand megawatthours,ELEC.GEN.PC-WV-99.A,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
West Virginia : natural gas,thousand megawatthours,ELEC.GEN.NG-WV-99.A,276,241,278,255,287,362,389,180,109,140,251,243,270,653,1304,1225,1527,1420,2243,2777,2626,2110,3680,3782,3314
West Virginia : other gases,thousand megawatthours,ELEC.GEN.OOG-WV-99.A,90,175,170,148,86,53,56,50,36,40,30,32,30,31,29,25,34,25,42,47,53,35,32,40,17
West Virginia : nuclear,thousand megawatthours,ELEC.GEN.NUC-WV-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
West Virginia : conventional hydroelectric,thousand megawatthours,ELEC.GEN.HYC-WV-99.A,952,1066,1356,1318,1448,1572,1254,1248,1646,1367,1453,1431,1739,1242,1385,1638,1658,1848,1706,1592,1705,1647,1530,1361,1285
West Virginia : other renewables,thousand megawatthours,ELEC.GEN.AOR-WV-99.A,16,15,174,163,155,174,168,392,742,939,1112,1297,1391,1456,1381,1432,1682,1770,1631,1904,1634,2017,2099,2196,2260
West Virginia : wind,thousand megawatthours,ELEC.GEN.WND-WV-99.A,--,9,170,161,154,174,168,392,742,939,1103,1286,1387,1451,1376,1432,1682,1770,1631,1898,1624,2007,2089,2003,1991
West Virginia : all utility-scale solar,thousand megawatthours,ELEC.GEN.SUN-WV-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,186,264
West Virginia : utility-scale photovoltaic,thousand megawatthours,ELEC.GEN.SPV-WV-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,186,264
West Virginia : utility-scale thermal,thousand megawatthours,ELEC.GEN.STH-WV-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
West Virginia : geothermal,thousand megawatthours,ELEC.GEN.GEO-WV-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
West Virginia : biomass,thousand megawatthours,ELEC.GEN.BIO-WV-99.A,16,6,4,2,1,0,0,0,-1,0,9,11,4,5,5,--,--,--,0,6,10,10,9,8,5
West Virginia : wood and wood-derived fuels,thousand megawatthours,ELEC.GEN.WWW-WV-99.A,1,0,0,1,0,0,0,0,-1,0,0,0,--,--,--,--,--,--,--,--,--,--,--,--,--
West Virginia : other biomass,thousand megawatthours,ELEC.GEN.WAS-WV-99.A,14,6,4,2,0,0,0,0,0,0,9,11,4,5,5,--,--,--,0,6,10,10,9,8,5
West Virginia : hydro-electric pumped storage,thousand megawatthours,ELEC.GEN.HPS-WV-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
West Virginia : other,thousand megawatthours,ELEC.GEN.OTH-WV-99.A,11,17,17,13,11,6,0,2,0,1,0,0,0,0,0,-12,-14,-12,-6,-17,-16,-12,-14,-8,-6
West Virginia : all solar,thousand megawatthours,ELEC.GEN.TSN-WV-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,4,4,6,8,10,12,15,22,33,47,247,344
West Virginia : small-scale solar photovoltaic,thousand megawatthours,ELEC.GEN.DPV-WV-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,4,4,6,8,10,12,15,22,33,47,61,80
West Virginia : all utility-scale solar,thousand megawatthours,ELEC.GEN.SUN-WV-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,186,264
West Virginia : utility-scale photovoltaic,thousand megawatthours,ELEC.GEN.SPV-WV-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,186,264
West Virginia : utility-scale thermal,thousand megawatthours,ELEC.GEN.STH-WV-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
East South Central,,ELEC.GEN..A,,,,,,,,,,,,,,,,,,,,,,,,,
East South Central : all fuels (utility-scale),thousand megawatthours,ELEC.GEN.ALL-ESC-99.A,370431,364030,361576,373142,377956,379827,386209,382602,362304,387204,387365,375137,372776,374871,375994,364881,351917,368891,362770,348235,359422,359754,353377,--,--
East South Central : coal,thousand megawatthours,ELEC.GEN.COW-ESC-99.A,241923,229875,232761,236489,242899,247910,246121,239967,194237,211403,198964,171000,171541,177521,151017,137590,121020,117192,101476,84207,100554,94534,82459,--,--
East South Central : petroleum liquids,thousand megawatthours,ELEC.GEN.PEL-ESC-99.A,6102,785,2525,3383,2126,835,907,628,550,621,491,378,325,418,346,273,241,293,224,186,199,277,195,--,--
East South Central : petroleum coke,thousand megawatthours,ELEC.GEN.PC-ESC-99.A,--,2895,2795,3500,3563,3245,2673,2743,1890,2162,1596,1429,1302,1033,964,1130,427,0,0,0,0,18,0,--,--
East South Central : natural gas,thousand megawatthours,ELEC.GEN.NG-ESC-99.A,28449,34719,22792,28468,31415,36954,47085,44416,56172,72997,82452,105279,84798,89575,116235,127445,119790,136296,138274,138944,131627,147375,147135,--,--
East South Central : other gases,thousand megawatthours,ELEC.GEN.OOG-ESC-99.A,208,162,205,238,147,192,239,260,176,294,308,191,281,193,48,39,20,16,15,12,11,11,11,--,--
East South Central : nuclear,thousand megawatthours,ELEC.GEN.NUC-ESC-99.A,68857,69490,66732,70481,69575,67008,72384,75419,77677,75323,76612,73239,80174,79166,78626,75377,81834,82559,90410,86710,93139,86549,95266,--,--
East South Central : conventional hydroelectric,thousand megawatthours,ELEC.GEN.HYC-ESC-99.A,19158,20823,28617,24815,22415,17592,10744,13700,26065,19422,21429,18093,28618,21511,22847,17237,22434,25854,25767,31807,27269,23916,20426,--,--
East South Central : other renewables,thousand megawatthours,ELEC.GEN.AOR-ESC-99.A,6453,5848,5824,6535,6356,6695,6730,6174,5788,5309,5779,5455,5761,5876,6363,6417,6767,7230,7162,7017,7124,7506,8347,--,--
East South Central : wind,thousand megawatthours,ELEC.GEN.WND-ESC-99.A,--,4,4,4,3,55,50,50,52,41,53,47,47,51,46,38,43,41,38,39,28,15,16,--,--
East South Central : all utility-scale solar,thousand megawatthours,ELEC.GEN.SUN-ESC-99.A,--,--,--,--,--,--,--,--,--,--,--,12,20,27,76,122,379,890,1079,1166,1303,2122,2950,--,--
East South Central : utility-scale photovoltaic,thousand megawatthours,ELEC.GEN.SPV-ESC-99.A,--,--,--,--,--,--,--,--,--,--,--,12,20,27,76,122,379,890,1079,1166,1303,2122,2950,--,--
East South Central : utility-scale thermal,thousand megawatthours,ELEC.GEN.STH-ESC-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
East South Central : geothermal,thousand megawatthours,ELEC.GEN.GEO-ESC-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
East South Central : biomass,thousand megawatthours,ELEC.GEN.BIO-ESC-99.A,6453,5844,5820,6531,6353,6640,6680,6123,5736,5268,5726,5395,5694,5797,6241,6258,6345,6299,6045,5811,5792,5369,5380,--,--
East South Central : wood and wood-derived fuels,thousand megawatthours,ELEC.GEN.WWW-ESC-99.A,6393,5780,5729,6401,6199,6467,6511,5940,5578,5132,5581,5213,5474,5550,6010,6013,6077,6056,5802,5553,5538,5132,5180,--,--
