description,units,source key,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
West South Central : all sectors,million kilowatthours,ELEC.SALES.WSC-ALL.A,484136,492042,493992,494966,511519,521733,525644,528954,521739,549578,570209,556035,571237,588952,591815,597819,599664,632783,635361,624140,639636,689025,705823,722768,745852
West South Central : residential,million kilowatthours,ELEC.SALES.WSC-RES.A,178043,185047,185687,184511,193659,193712,192574,196342,198188,212760,220886,208157,212401,214093,218086,217197,212638,232709,229006,228068,228147,246771,242549,238936,246401
West South Central : commercial,million kilowatthours,ELEC.SALES.WSC-COM.A,128340,128833,146164,149935,161320,162887,163863,167303,171982,176864,184254,189413,192511,196362,194164,196873,194398,201723,198321,197376,201819,218257,224347,225086,237294
West South Central : industrial,million kilowatthours,ELEC.SALES.WSC-IND.A,156873,161697,162047,160423,156458,165070,169136,165234,151488,159868,164990,158384,166253,178313,179373,183555,192433,198150,207836,198512,209480,223806,238748,258724,262137
West South Central : transportation,million kilowatthours,ELEC.SALES.WSC-TRA.A,--,--,93,97,82,64,70,74,80,86,80,81,73,184,192,194,196,201,199,185,190,190,179,22,21
West South Central : other,million kilowatthours,ELEC.SALES.WSC-OTH.A,20880,16465,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Arkansas,million kilowatthours,ELEC.SALES.AR-ALL.A,,,,,,,,,,,,,,,,,,,,,,,,,
Arkansas : all sectors,million kilowatthours,ELEC.SALES.AR-ALL.A,41732,42450,43108,43672,46165,46636,47055,46135,43173,48194,47928,46860,46683,47080,46465,46188,46086,49603,48093,45851,48663,48998,48649,49896,52963
Arkansas : residential,million kilowatthours,ELEC.SALES.AR-RES.A,15104,15527,15598,15619,17134,17065,17415,17392,16986,19231,18787,17909,18219,18441,18273,17784,17027,19259,18732,17980,18918,19251,18374,18581,19228
Arkansas : commercial,million kilowatthours,ELEC.SALES.AR-COM.A,9153,9304,10568,10731,11366,11581,11801,11703,11477,12188,12146,12102,11898,11988,12153,12178,11913,12278,11949,11110,11517,11787,11694,11789,11905
Arkansas : industrial,million kilowatthours,ELEC.SALES.AR-IND.A,16734,16887,16942,17322,17665,17990,17839,17038,14710,16775,16994,16848,16565,16651,16038,16226,17146,18065,17412,16760,18228,17960,18581,19526,21829
Arkansas : transportation,million kilowatthours,ELEC.SALES.AR-TRA.A,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arkansas : other,million kilowatthours,ELEC.SALES.AR-OTH.A,741,731,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Louisiana,million kilowatthours,ELEC.SALES.LA-ALL.A,,,,,,,,,,,,,,,,,,,,,,,,,
Louisiana : all sectors,million kilowatthours,ELEC.SALES.LA-ALL.A,74693,79261,77769,79737,77389,77468,79567,78726,78670,85080,86369,84731,85808,90628,91676,91453,91206,94186,93129,89127,90819,95139,95374,95357,98075
Louisiana : residential,million kilowatthours,ELEC.SALES.LA-RES.A,25800,28157,28572,28863,28654,28113,28878,28848,29747,32679,32019,30027,30709,31401,31545,30650,29532,32066,30986,30441,30408,31445,31747,30975,31836
Louisiana : commercial,million kilowatthours,ELEC.SALES.LA-COM.A,17722,18686,21944,22568,21692,21979,22887,22940,23301,24203,24281,24245,24254,24493,24996,24896,24500,24691,24284,22399,22460,23540,23743,23652,23905
Louisiana : industrial,million kilowatthours,ELEC.SALES.LA-IND.A,28574,29662,27251,28290,27031,27373,27799,26932,25613,28187,30058,30449,30833,34723,35123,35895,37161,37417,37846,36276,37942,40144,39874,40720,42326
Louisiana : transportation,million kilowatthours,ELEC.SALES.LA-TRA.A,--,--,3,16,12,3,3,5,9,11,11,11,11,12,12,12,13,13,12,11,9,10,10,10,9
Louisiana : other,million kilowatthours,ELEC.SALES.LA-OTH.A,2596,2756,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Oklahoma,million kilowatthours,ELEC.SALES.OK-ALL.A,,,,,,,,,,,,,,,,,,,,,,,,,
Oklahoma : all sectors,million kilowatthours,ELEC.SALES.OK-ALL.A,49667,49485,50428,50942,53707,54905,55193,56279,54545,57846,59847,59341,59929,61573,61336,61517,60492,64575,64796,62299,64525,69487,68979,72084,75115
Oklahoma : residential,million kilowatthours,ELEC.SALES.OK-RES.A,19796,19927,20162,19699,21309,21690,21361,21861,21641,23689,24425,22810,23200,23351,22616,22790,21838,24117,23806,23232,23746,25479,23818,24328,24475
Oklahoma : commercial,million kilowatthours,ELEC.SALES.OK-COM.A,13552,13097,16958,17020,17477,18197,18634,19022,18670,19005,19613,19961,19843,20449,20691,20696,20499,21229,20086,18699,19999,22212,23117,25412,27677
Oklahoma : industrial,million kilowatthours,ELEC.SALES.OK-IND.A,13356,12898,13308,14223,14920,15018,15198,15395,14233,15152,15809,16570,16886,17773,18029,18031,18156,19229,20904,20368,20780,21796,22044,22343,22963
Oklahoma : transportation,million kilowatthours,ELEC.SALES.OK-TRA.A,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oklahoma : other,million kilowatthours,ELEC.SALES.OK-OTH.A,2963,3564,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Texas,million kilowatthours,ELEC.SALES.TX-ALL.A,,,,,,,,,,,,,,,,,,,,,,,,,
Texas : all sectors,million kilowatthours,ELEC.SALES.TX-ALL.A,318044,320846,322686,320615,334258,342724,343829,347815,345351,358458,376065,365104,378817,389670,392337,398662,401880,424419,429343,426863,435628,475401,492820,505431,519700
Texas : residential,million kilowatthours,ELEC.SALES.TX-RES.A,117343,121435,121355,120330,126562,126843,124921,128240,129815,137161,145654,137412,140273,140900,145652,145973,144242,157268,155481,156415,155075,170596,168611,165052,170862
Texas : commercial,million kilowatthours,ELEC.SALES.TX-COM.A,87912,87746,96694,99616,110784,111130,110540,113638,118535,121467,128214,133105,136516,139432,136324,139104,137486,143525,142002,145168,147843,160719,165792,164233,173807
Texas : industrial,million kilowatthours,ELEC.SALES.TX-IND.A,98208,102251,104547,100588,96841,104689,108300,105868,96931,99754,102129,94517,101968,109165,110182,113403,119970,123439,131674,125107,132530,143906,158249,176135,175019
Texas : transportation,million kilowatthours,ELEC.SALES.TX-TRA.A,--,--,90,81,71,62,67,69,71,74,68,70,61,172,180,182,182,187,187,174,180,180,169,12,11
Texas : other,million kilowatthours,ELEC.SALES.TX-OTH.A,14581,9414,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Mountain,million kilowatthours,ELEC.SALES.MTN-ALL.A,,,,,,,,,,,,,,,,,,,,,,,,,
Mountain : all sectors,million kilowatthours,ELEC.SALES.MTN-ALL.A,222114,226621,231194,237632,245353,256897,269011,269751,261656,263678,268697,271377,273161,272398,274962,276122,278014,283325,283525,287061,290707,299086,299394,312489,314210
Mountain : residential,million kilowatthours,ELEC.SALES.MTN-RES.A,74907,77035,79887,81714,85691,90458,95073,94110,93432,93359,94775,94872,96356,93788,95206,97005,98536,100312,100458,108571,107925,110762,109662,113434,111093
Mountain : commercial,million kilowatthours,ELEC.SALES.MTN-COM.A,75058,77803,83522,84671,87501,90722,94563,94417,92398,91865,93413,94114,94636,93898,94880,95538,97122,99065,98070,95288,98680,102416,105323,112525,114360
Mountain : industrial,million kilowatthours,ELEC.SALES.MTN-IND.A,64593,63674,67723,71203,72107,75654,79288,81134,75741,78367,80414,82292,82044,84579,84740,83442,82211,83788,84813,83044,83947,85753,84248,86373,88599
Mountain : transportation,million kilowatthours,ELEC.SALES.MTN-TRA.A,--,--,62,44,55,62,87,90,84,89,93,99,124,133,134,137,145,161,185,159,153,155,162,157,158
Mountain : other,million kilowatthours,ELEC.SALES.MTN-OTH.A,7556,8109,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Arizona,million kilowatthours,ELEC.SALES.AZ-ALL.A,,,,,,,,,,,,,,,,,,,,,,,,,
Arizona : all sectors,million kilowatthours,ELEC.SALES.AZ-ALL.A,62274,62601,64080,66933,69391,73253,77193,76268,73433,72833,74944,75063,75662,76298,77349,78238,77646,78346,77929,81960,81220,84197,85919,90843,91552
Arizona : residential,million kilowatthours,ELEC.SALES.AZ-RES.A,26200,26413,27742,28921,30544,32367,34437,33236,32847,32448,33079,32923,33104,32346,33167,33691,34251,34660,34720,38707,37130,38368,38992,40435,39062
Arizona : commercial,million kilowatthours,ELEC.SALES.AZ-COM.A,22045,22371,25425,26106,27468,28626,30475,30162,29386,28943,29512,29692,30039,29290,29284,29564,29681,29684,29415,29128,29990,31507,32620,36100,37543
Arizona : industrial,million kilowatthours,ELEC.SALES.AZ-IND.A,11377,11026,10914,11906,11379,12259,12281,12869,11200,11442,12352,12448,12519,14662,14892,14976,13706,13994,13783,14113,14089,14312,14297,14298,14937
Arizona : transportation,million kilowatthours,ELEC.SALES.AZ-TRA.A,--,--,0,0,0,0,0,0,0,0,0,0,0,0,6,7,8,8,11,11,11,10,10,10,11
Arizona : other,million kilowatthours,ELEC.SALES.AZ-OTH.A,2652,2791,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Colorado,million kilowatthours,ELEC.SALES.CO-ALL.A,,,,,,,,,,,,,,,,,,,,,,,,,
Colorado : all sectors,million kilowatthours,ELEC.SALES.CO-ALL.A,44236,45937,46495,46724,48353,49734,51299,52142,51036,52918,53458,53685,53442,53397,54116,54802,54830,56450,56521,56050,56351,56763,55566,56843,56652
Colorado : residential,million kilowatthours,ELEC.SALES.CO-RES.A,14470,15425,15725,15532,16436,16952,17634,17720,17413,18102,18277,18220,18529,18093,18385,18834,18615,19287,19405,20483,20625,20594,19999,20694,20447
Colorado : commercial,million kilowatthours,ELEC.SALES.CO-COM.A,17890,18438,19657,19498,19846,20153,20508,20551,20008,19597,19889,19997,20098,20129,20408,20800,20641,21023,21111,20042,20584,21059,20698,21172,20836
Colorado : industrial,million kilowatthours,ELEC.SALES.CO-IND.A,10918,10672,11076,11675,12052,12605,13113,13822,13571,15172,15242,15415,14753,15110,15259,15103,15501,16047,15891,15431,15053,15018,14779,14892,15281
Colorado : transportation,million kilowatthours,ELEC.SALES.CO-TRA.A,--,--,37,19,19,25,44,49,44,46,50,52,62,64,64,65,73,93,114,94,89,91,90,86,87
Colorado : other,million kilowatthours,ELEC.SALES.CO-OTH.A,958,1401,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Idaho,million kilowatthours,ELEC.SALES.ID-ALL.A,,,,,,,,,,,,,,,,,,,,,,,,,
Idaho : all sectors,million kilowatthours,ELEC.SALES.ID-ALL.A,21096,20700,21219,21809,21853,22762,23755,23901,22754,22798,23272,23712,24208,23233,23059,23063,23794,23754,23985,24461,25286,26201,25674,26370,26800
Idaho : residential,million kilowatthours,ELEC.SALES.ID-RES.A,6906,7056,7090,7314,7601,8057,8339,8540,8554,8137,8390,8159,8619,8135,8055,8172,8728,8428,8697,8971,9301,9964,9793,9832,9936
Idaho : commercial,million kilowatthours,ELEC.SALES.ID-COM.A,6543,6963,5466,5484,5615,5813,6015,6049,6005,5865,5969,5978,6250,6128,6264,6279,6421,6437,6441,6310,6600,6837,6842,6964,7029
Idaho : industrial,million kilowatthours,ELEC.SALES.ID-IND.A,7305,6352,8663,9011,8636,8891,9401,9313,8195,8796,8912,9574,9338,8970,8740,8612,8645,8889,8847,9181,9384,9401,9039,9574,9835
Idaho : transportation,million kilowatthours,ELEC.SALES.ID-TRA.A,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Idaho : other,million kilowatthours,ELEC.SALES.ID-OTH.A,342,329,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Montana,million kilowatthours,ELEC.SALES.MT-ALL.A,,,,,,,,,,,,,,,,,,,,,,,,,
Montana : all sectors,million kilowatthours,ELEC.SALES.MT-ALL.A,11447,12831,12825,12957,13479,13815,15532,15326,14354,13771,13788,13863,14045,14102,14207,14101,14710,14839,15321,14584,14962,15584,15505,15567,15371
Montana : residential,million kilowatthours,ELEC.SALES.MT-RES.A,3886,4031,4120,4053,4221,4394,4542,4669,4790,4743,4913,4778,4926,4969,4825,4853,5225,5198,5308,5380,5559,5894,5756,5700,5800
Montana : commercial,million kilowatthours,ELEC.SALES.MT-COM.A,3866,4003,4438,4330,4473,4686,4828,4826,4791,4789,4892,4918,4890,4903,4894,4832,4970,4921,4956,4702,4906,5020,5063,5034,5148
Montana : industrial,million kilowatthours,ELEC.SALES.MT-IND.A,3370,4463,4267,4574,4784,4735,6163,5831,4773,4239,3983,4168,4229,4230,4488,4416,4515,4720,5057,4502,4496,4670,4686,4832,4423
Montana : transportation,million kilowatthours,ELEC.SALES.MT-TRA.A,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montana : other,million kilowatthours,ELEC.SALES.MT-OTH.A,324,335,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Nevada,million kilowatthours,ELEC.SALES.NV-ALL.A,,,,,,,,,,,,,,,,,,,,,,,,,
Nevada : all sectors,million kilowatthours,ELEC.SALES.NV-ALL.A,28167,29204,30132,31312,32501,34586,35643,35192,34284,33773,33916,35180,35211,35076,36020,36145,36658,37780,36982,38234,39032,39320,38249,40665,39846
Nevada : residential,million kilowatthours,ELEC.SALES.NV-RES.A,9607,9702,10340,10673,11080,11978,12390,12061,11880,11615,11493,12123,12142,11917,12339,12692,12937,13450,12868,14322,14373,14307,13509,14631,13909
Nevada : commercial,million kilowatthours,ELEC.SALES.NV-COM.A,6693,7538,8168,8275,8516,8975,9352,9304,8950,8970,8995,9315,9302,9418,9614,9929,11123,12124,11681,11984,12294,12428,12367,14259,14151
Nevada : industrial,million kilowatthours,ELEC.SALES.NV-IND.A,11239,11373,11624,12364,12897,13625,13893,13820,13445,13180,13420,13734,13759,13733,14059,13515,12590,12198,12426,11925,12360,12579,12367,11766,11778
Nevada : transportation,million kilowatthours,ELEC.SALES.NV-TRA.A,--,--,0,0,8,8,8,8,8,8,8,8,8,8,8,8,9,8,8,4,5,7,7,8,7
Nevada : other,million kilowatthours,ELEC.SALES.NV-OTH.A,628,592,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
New Mexico,million kilowatthours,ELEC.SALES.NM-ALL.A,,,,,,,,,,,,,,,,,,,,,,,,,
New Mexico : all sectors,million kilowatthours,ELEC.SALES.NM-ALL.A,18727,19207,19330,19846,20639,21435,22267,22038,21647,22428,23042,23179,23065,23115,23094,23040,23010,24049,24880,24777,25394,27156,28347,30296,31578
New Mexico : residential,million kilowatthours,ELEC.SALES.NM-RES.A,4999,5238,5418,5635,5865,6009,6387,6379,6504,6752,6874,6764,6804,6612,6642,6643,6497,6826,6872,7282,7088,7283,7336,7348,7227
New Mexico : commercial,million kilowatthours,ELEC.SALES.NM-COM.A,6844,7000,8063,8239,8411,8604,8932,8828,8734,9016,9258,9166,8983,8976,8877,8806,8784,9035,9029,8407,8656,9084,9349,9593,9257
New Mexico : industrial,million kilowatthours,ELEC.SALES.NM-IND.A,5272,5316,5849,5972,6363,6822,6948,6831,6409,6660,6910,7249,7278,7527,7575,7591,7728,8187,8980,9088,9650,10790,11662,13356,15094
New Mexico : transportation,million kilowatthours,ELEC.SALES.NM-TRA.A,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New Mexico : other,million kilowatthours,ELEC.SALES.NM-OTH.A,1612,1653,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Utah,million kilowatthours,ELEC.SALES.UT-ALL.A,,,,,,,,,,,,,,,,,,,,,,,,,
Utah : all sectors,million kilowatthours,ELEC.SALES.UT-ALL.A,23217,23267,23860,24512,25000,26366,27785,28192,27587,28044,28859,29723,30474,30043,30192,30180,30589,31242,31143,31663,32678,33366,33344,34688,35074
Utah : residential,million kilowatthours,ELEC.SALES.UT-RES.A,6693,6938,7166,7325,7567,8232,8752,8786,8725,8834,8947,9188,9402,8964,9117,9371,9511,9715,9740,10547,10950,11344,11328,11825,11758
Utah : commercial,million kilowatthours,ELEC.SALES.UT-COM.A,8262,8463,9024,9345,9417,9749,10241,10286,10235,10368,10544,10803,11008,11053,11615,11565,11739,12084,11860,11395,12207,12871,13338,14129,14713
Utah : industrial,million kilowatthours,ELEC.SALES.UT-IND.A,7411,7019,7646,7816,7989,8356,8759,9086,8594,8808,9333,9694,10010,9965,9405,9187,9283,9393,9491,9672,9472,9105,8623,8681,8552
Utah : transportation,million kilowatthours,ELEC.SALES.UT-TRA.A,--,--,25,25,28,29,34,33,32,34,35,38,54,61,56,57,56,51,52,49,49,46,54,53,52
Utah : other,million kilowatthours,ELEC.SALES.UT-OTH.A,851,846,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Wyoming,million kilowatthours,ELEC.SALES.WY-ALL.A,,,,,,,,,,,,,,,,,,,,,,,,,
Wyoming : all sectors,million kilowatthours,ELEC.SALES.WY-ALL.A,12950,12874,13254,13540,14138,14947,15536,16690,16562,17113,17418,16971,17054,17134,16925,16555,16778,16865,16763,15331,15785,16499,16790,17217,17336
Wyoming : residential,million kilowatthours,ELEC.SALES.WY-RES.A,2146,2232,2286,2262,2377,2468,2592,2719,2720,2727,2803,2717,2829,2752,2677,2751,2772,2748,2849,2880,2897,3009,2948,2968,2955
Wyoming : commercial,million kilowatthours,ELEC.SALES.WY-COM.A,2915,3027,3282,3393,3754,4117,4214,4411,4288,4317,4353,4245,4067,4000,3925,3762,3762,3757,3575,3320,3443,3611,5046,5275,5683
Wyoming : industrial,million kilowatthours,ELEC.SALES.WY-IND.A,7700,7453,7685,7884,8007,8362,8730,9560,9554,10069,10262,10009,10157,10381,10323,10041,10244,10359,10339,9131,9444,9880,8796,8974,8699
Wyoming : transportation,million kilowatthours,ELEC.SALES.WY-TRA.A,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wyoming : other,million kilowatthours,ELEC.SALES.WY-OTH.A,189,162,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Pacific Contiguous,million kilowatthours,ELEC.SALES.PCC-ALL.A,,,,,,,,,,,,,,,,,,,,,,,,,
Pacific Contiguous : all sectors,million kilowatthours,ELEC.SALES.PCC-ALL.A,372139,355872,366550,377644,384094,396061,398674,404676,397361,394937,402838,398563,401856,402061,398550,393081,399260,394556,391836,387900,389584,399093,387018,395379,390568
Pacific Contiguous : residential,million kilowatthours,ELEC.SALES.PCC-RES.A,125779,126822,132534,133817,137161,143252,143922,147477,146371,141003,144204,144476,144554,143061,141727,141096,147472,143370,143323,151421,148591,150044,142206,144245,140734
Pacific Contiguous : commercial,million kilowatthours,ELEC.SALES.PCC-COM.A,135116,141799,153100,162845,161030,165918,169476,171218,167152,165439,167944,166835,162597,164574,163672,161824,164053,161653,159972,150063,153908,160576,166389,172890,172691
Pacific Contiguous : industrial,million kilowatthours,ELEC.SALES.PCC-IND.A,95465,76535,80049,80025,85038,85995,84408,85094,82967,87642,89832,86536,93841,93566,92284,89349,86868,88750,87648,85690,86338,87651,77589,77414,76315
Pacific Contiguous : transportation,million kilowatthours,ELEC.SALES.PCC-TRA.A,--,--,866,958,865,896,868,887,871,853,859,717,864,860,867,812,867,783,893,726,747,822,834,831,829
Pacific Contiguous : other,million kilowatthours,ELEC.SALES.PCC-OTH.A,15779,10716,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
California,million kilowatthours,ELEC.SALES.CA-ALL.A,,,,,,,,,,,,,,,,,,,,,,,,,
California : all sectors,million kilowatthours,ELEC.SALES.CA-ALL.A,247759,235213,243221,252026,254250,262959,264235,268155,259584,258531,261942,259538,261332,262585,261170,256847,257268,255224,250379,250175,247250,251869,239480,245717,237957
California : residential,million kilowatthours,ELEC.SALES.CA-RES.A,76668,77202,82926,83361,85610,89836,89158,91231,89799,87257,88398,90110,89242,89361,89386,88311,90124,89100,87524,94935,90284,89542,82821,85851,81948
California : commercial,million kilowatthours,ELEC.SALES.CA-COM.A,96459,102587,109578,118953,117551,121255,123690,125026,121105,121152,122781,121792,116858,119494,118384,116775,117682,115786,114279,107006,108762,114141,112936,115126,113517
California : industrial,million kilowatthours,ELEC.SALES.CA-IND.A,63041,48448,49909,48812,50242,50991,50538,51031,47835,49301,49936,46952,54397,52898,52562,50979,48627,49588,47808,47631,47583,47500,42999,44026,41787
California : transportation,million kilowatthours,ELEC.SALES.CA-TRA.A,--,--,809,900,846,877,848,867,844,821,827,685,836,832,838,782,835,750,768,603,621,685,725,715,705
California : other,million kilowatthours,ELEC.SALES.CA-OTH.A,11591,6976,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Oregon,million kilowatthours,ELEC.SALES.OR-ALL.A,,,,,,,,,,,,,,,,,,,,,,,,,
Oregon : all sectors,million kilowatthours,ELEC.SALES.OR-ALL.A,45885,45255,45195,45636,46419,48069,48697,49187,47567,46026,47171,46689,47641,47335,47264,47349,50044,49326,50404,51019,54135,56327,57985,59681,61567
Oregon : residential,million kilowatthours,ELEC.SALES.OR-RES.A,17503,17554,17736,18001,18339,18978,19374,19910,19804,18839,19429,18855,19329,18618,18269,18573,20066,18931,19286,19628,20285,20726,20445,19768,19796
Oregon : commercial,million kilowatthours,ELEC.SALES.OR-COM.A,14816,14902,15483,15667,15380,16083,16187,16313,15978,15454,15754,15804,16080,16039,16021,16060,16571,16470,16423,15749,16509,16655,23084,24662,25524
Oregon : industrial,million kilowatthours,ELEC.SALES.OR-IND.A,13084,12296,11961,11954,12684,12991,13117,12945,11761,11708,11963,12006,12210,12654,12950,12692,13382,13899,14668,15617,17319,18924,14434,15228,16224
Oregon : transportation,million kilowatthours,ELEC.SALES.OR-TRA.A,--,--,15,16,17,18,18,19,24,25,25,25,22,23,24,24,25,26,27,26,23,23,23,22,23
Oregon : other,million kilowatthours,ELEC.SALES.OR-OTH.A,481,503,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Washington,million kilowatthours,ELEC.SALES.WA-ALL.A,,,,,,,,,,,,,,,,,,,,,,,,,
Washington : all sectors,million kilowatthours,ELEC.SALES.WA-ALL.A,78495,75404,78134,79982,83425,85033,85742,87333,90210,90380,93725,92336,92883,92141,90116,88885,91948,90006,91053,86706,88199,90897,89553,89982,91044
Washington : residential,million kilowatthours,ELEC.SALES.WA-RES.A,31608,32066,31872,32455,33212,34439,35389,36336,36768,34907,36376,35511,35983,35083,34072,34212,37283,35339,36512,36859,38021,39776,38940,38627,38990
Washington : commercial,million kilowatthours,ELEC.SALES.WA-COM.A,23841,24310,28039,28226,28100,28580,29599,29878,30069,28833,29409,29240,29659,29040,29267,28989,29800,29396,29270,27307,28637,29780,30370,33102,33650
Washington : industrial,million kilowatthours,ELEC.SALES.WA-IND.A,19339,15792,18180,19259,22112,22013,20753,21117,23371,26633,27933,27579,27235,28013,26772,25678,24859,25263,25172,22442,21436,21227,20156,18159,18304
Washington : transportation,million kilowatthours,ELEC.SALES.WA-TRA.A,--,--,42,42,2,1,2,2,3,7,7,7,6,5,5,6,7,7,99,98,104,114,86,94,101
Washington : other,million kilowatthours,ELEC.SALES.WA-OTH.A,3707,3237,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Pacific Noncontiguous,million kilowatthours,ELEC.SALES.PCN-ALL.A,,,,,,,,,,,,,,,,,,,,,,,,,
Pacific Noncontiguous : all sectors,million kilowatthours,ELEC.SALES.PCN-ALL.A,15239,15357,15955,16520,16451,16750,16912,16716,16396,16264,16281,16056,15771,15640,15671,15569,15510,15310,15272,14714,14906,15041,14952,14999,15255
Pacific Noncontiguous : residential,million kilowatthours,ELEC.SALES.PCN-RES.A,4694,4831,5015,5224,5226,5303,5315,5215,5173,5083,5063,4899,4713,4627,4686,4618,4690,4686,4688,4938,4909,4799,4744,4722,4799
Pacific Noncontiguous : commercial,million kilowatthours,ELEC.SALES.PCN-COM.A,5418,5406,5990,6233,6158,6309,6349,6353,6229,6184,6223,6113,6095,5963,5938,5843,5787,5679,5697,5208,5343,5414,5402,5434,5469
Pacific Noncontiguous : industrial,million kilowatthours,ELEC.SALES.PCN-IND.A,4869,4858,4950,5063,5068,5139,5248,5149,4994,4997,4995,5043,4963,5049,5047,5108,5033,4945,4887,4568,4654,4828,4806,4843,4988
Pacific Noncontiguous : transportation,million kilowatthours,ELEC.SALES.PCN-TRA.A,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pacific Noncontiguous : other,million kilowatthours,ELEC.SALES.PCN-OTH.A,257,262,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Alaska,million kilowatthours,ELEC.SALES.AK-ALL.A,,,,,,,,,,,,,,,,,,,,,,,,,
Alaska : all sectors,million kilowatthours,ELEC.SALES.AK-ALL.A,5454,5465,5564,5788,5913,6182,6327,6326,6270,6247,6320,6416,6268,6165,6159,6123,6186,5972,5819,5918,5969,6002,6025,6047,6118
Alaska : residential,million kilowatthours,ELEC.SALES.AK-RES.A,1891,1932,1987,2062,2062,2120,2114,2130,2117,2093,2134,2160,2104,2044,2044,2006,2060,1975,1928,2089,2084,2050,2051,2071,2049
Alaska : commercial,million kilowatthours,ELEC.SALES.AK-COM.A,2289,2238,2473,2601,2695,2819,2828,2852,2841,2830,2854,2875,2824,2762,2763,2731,2705,2646,2639,2524,2559,2576,2603,2604,2654
Alaska : industrial,million kilowatthours,ELEC.SALES.AK-IND.A,1079,1088,1104,1126,1156,1243,1384,1344,1311,1324,1331,1381,1340,1360,1352,1385,1421,1352,1252,1304,1327,1376,1371,1372,1415
Alaska : transportation,million kilowatthours,ELEC.SALES.AK-TRA.A,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alaska : other,million kilowatthours,ELEC.SALES.AK-OTH.A,194,207,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Hawaii,million kilowatthours,ELEC.SALES.HI-ALL.A,,,,,,,,,,,,,,,,,,,,,,,,,
Hawaii : all sectors,million kilowatthours,ELEC.SALES.HI-ALL.A,9785,9892,10391,10732,10539,10568,10585,10390,10126,10017,9962,9639,9503,9475,9511,9445,9324,9337,9453,8797,8936,9039,8927,8952,9137
Hawaii : residential,million kilowatthours,ELEC.SALES.HI-RES.A,2802,2898,3028,3162,3164,3182,3201,3085,3055,2989,2929,2739,2609,2584,2641,2612,2630,2711,2760,2849,2825,2748,2693,2652,2750
Hawaii : commercial,million kilowatthours,ELEC.SALES.HI-COM.A,3129,3168,3517,3632,3463,3490,3520,3501,3388,3355,3368,3238,3271,3202,3174,3111,3082,3033,3058,2684,2785,2838,2799,2830,2815
Hawaii : industrial,million kilowatthours,ELEC.SALES.HI-IND.A,3790,3770,3846,3937,3912,3896,3864,3804,3683,3672,3665,3662,3623,3690,3696,3722,3613,3593,3635,3263,3327,3453,3435,3470,3572
Hawaii : transportation,million kilowatthours,ELEC.SALES.HI-TRA.A,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
