description,units,source key,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Wisconsin : residential,million kilowatthours,ELEC.SALES.WI-RES.A,20418,21575,21364,21192,22458,21779,22374,21976,21421,22299,22150,22026,22096,21926,21215,21814,21233,22441,21995,22847,22864,22888,22219,22017,22928
Wisconsin : commercial,million kilowatthours,ELEC.SALES.WI-COM.A,18678,19144,20056,19349,22501,22756,23491,23473,22476,23001,23055,23233,23658,23757,23514,23884,23641,24093,23546,22436,23266,23427,23213,23296,23831
Wisconsin : industrial,million kilowatthours,ELEC.SALES.WI-IND.A,25370,25534,25821,27435,25376,25286,25436,24672,22390,23452,23407,23561,23370,23812,23970,24038,24205,24425,23615,22164,23296,23560,23131,22977,23420
Wisconsin : transportation,million kilowatthours,ELEC.SALES.WI-TRA.A,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
Wisconsin : other,million kilowatthours,ELEC.SALES.WI-OTH.A,752,746,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
West North Central,million kilowatthours,ELEC.SALES.WNC-ALL.A,,,,,,,,,,,,,,,,,,,,,,,,,
West North Central : all sectors,million kilowatthours,ELEC.SALES.WNC-ALL.A,252350,259591,260668,261030,276368,280451,289957,290840,277897,293913,294296,293706,297547,301178,294806,295255,295637,308478,302838,295591,305983,315811,313923,317125,328165
West North Central : residential,million kilowatthours,ELEC.SALES.WNC-RES.A,89758,94154,93729,93015,100210,99834,104460,103743,101715,107783,106281,102799,106312,106909,101620,102860,100529,109892,106595,106677,107760,111878,107369,106070,110519
West North Central : commercial,million kilowatthours,ELEC.SALES.WNC-COM.A,80345,82298,90005,89440,94190,95608,99000,99538,97740,100021,99483,99542,100980,100716,101711,102760,101871,104457,102643,96335,99433,103538,107264,109950,114517
West North Central : industrial,million kilowatthours,ELEC.SALES.WNC-IND.A,75136,75402,76933,78554,81923,84968,86456,87514,78399,86064,88491,91325,90214,93507,91430,89589,93190,94080,93550,92537,98747,100350,99248,101064,103088
West North Central : transportation,million kilowatthours,ELEC.SALES.WNC-TRA.A,--,--,0,21,44,41,41,46,43,44,41,39,41,45,45,46,47,49,49,41,43,45,42,41,41
West North Central : other,million kilowatthours,ELEC.SALES.WNC-OTH.A,7111,7737,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Iowa,million kilowatthours,ELEC.SALES.IA-ALL.A,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa : all sectors,million kilowatthours,ELEC.SALES.IA-ALL.A,39444,40898,41207,40903,42757,43337,45270,45488,43641,45445,45655,45709,46705,47202,47147,48431,48922,51211,51043,50640,52893,54204,54400,54930,58568
Iowa : residential,million kilowatthours,ELEC.SALES.IA-RES.A,12430,12921,12768,12625,13571,13344,14060,14073,13723,14555,14327,13988,14626,14427,13786,14094,13722,14840,14495,14567,14652,15193,14582,14469,15133
Iowa : commercial,million kilowatthours,ELEC.SALES.IA-COM.A,8512,8803,11637,10840,11271,11660,12084,12178,11706,12025,12088,12210,12445,12339,12072,12291,12135,12418,12310,11606,12135,12470,12601,12815,13310
Iowa : industrial,million kilowatthours,ELEC.SALES.IA-IND.A,16238,16548,16803,17437,17915,18331,19125,19237,18211,18865,19240,19512,19635,20436,21289,22046,23065,23953,24239,24467,26106,26541,27217,27647,30126
Iowa : transportation,million kilowatthours,ELEC.SALES.IA-TRA.A,--,--,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iowa : other,million kilowatthours,ELEC.SALES.IA-OTH.A,2264,2626,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Kansas,million kilowatthours,ELEC.SALES.KS-ALL.A,,,,,,,,,,,,,,,,,,,,,,,,,
Kansas : all sectors,million kilowatthours,ELEC.SALES.KS-ALL.A,35847,36714,36735,37127,39024,39751,40166,39965,38243,40421,40760,40293,39847,40562,39849,40810,40288,42037,41160,39484,40492,41961,41052,41258,41971
